"Timestap","Source IP Address","Destination IP Address","Source Port","Destination Port","Protocol","Packet Length","Hypertext Transfer Protocol","Host Name","Info"
"2024-07-02 14:22:04","192.168.1.37","255.255.255.255","1046","1046","UDP","67","","","1046  >  1046 Len=25"
"2024-07-02 14:22:04","216.239.38.223","192.168.1.37","443","62555","TCP","54","","","443  >  62555 [FIN, ACK] Seq=1 Ack=1 Win=477 Len=0"
"2024-07-02 14:22:04","192.168.1.37","216.239.38.223","62555","443","TCP","54","","","62555  >  443 [ACK] Seq=1 Ack=2 Win=259 Len=0"
"2024-07-02 14:22:04","AzureWaveTec_50:42:9f","Broadcast","","","ARP","42","","","Who has 192.168.1.101? Tell 192.168.1.37"
"2024-07-02 14:22:04","192.168.1.37","216.239.38.180","59322","443","UDP","296","","","59322  >  443 Len=254"
"2024-07-02 14:22:04","216.239.38.180","192.168.1.37","443","59322","UDP","75","","","443  >  59322 Len=33"
"2024-07-02 14:22:05","192.168.1.37","216.239.38.180","59322","443","UDP","75","","","59322  >  443 Len=33"
"2024-07-02 14:22:05","216.239.38.180","192.168.1.37","443","59322","UDP","569","","","443  >  59322 Len=527"
"2024-07-02 14:22:05","216.239.38.180","192.168.1.37","443","59322","UDP","65","","","443  >  59322 Len=23"
"2024-07-02 14:22:05","192.168.1.37","216.239.38.180","59322","443","UDP","81","","","59322  >  443 Len=39"
"2024-07-02 14:22:05","192.168.1.37","216.239.38.180","59322","443","UDP","515","","","59322  >  443 Len=473"
"2024-07-02 14:22:05","216.239.38.180","192.168.1.37","443","59322","UDP","75","","","443  >  59322 Len=33"
"2024-07-02 14:22:05","192.168.1.37","216.239.38.180","59322","443","UDP","75","","","59322  >  443 Len=33"
"2024-07-02 14:22:05","192.168.1.37","255.255.255.255","1046","1046","UDP","67","","","1046  >  1046 Len=25"
"2024-07-02 14:22:05","216.239.38.180","192.168.1.37","443","59322","UDP","545","","","443  >  59322 Len=503"
"2024-07-02 14:22:05","216.239.38.180","192.168.1.37","443","59322","UDP","65","","","443  >  59322 Len=23"
"2024-07-02 14:22:05","192.168.1.37","216.239.38.180","59322","443","UDP","81","","","59322  >  443 Len=39"
"2024-07-02 14:22:05","192.168.1.37","216.239.38.180","59322","443","UDP","75","","","59322  >  443 Len=33"
"2024-07-02 14:22:05","216.239.38.180","192.168.1.37","443","59322","UDP","68","","","443  >  59322 Len=26"
"2024-07-02 14:22:05","192.168.1.37","20.127.250.238","49194","443","TCP","55","","","49194  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1 [TCP segment of a reassembled PDU]"
"2024-07-02 14:22:06","20.127.250.238","192.168.1.37","443","49194","TCP","66","","","443  >  49194 [ACK] Seq=1 Ack=2 Win=251 Len=0 SLE=1 SRE=2"
"2024-07-02 14:22:06","192.168.1.37","255.255.255.255","1046","1046","UDP","67","","","1046  >  1046 Len=25"
"2024-07-02 14:22:06","AzureWaveTec_50:42:9f","Broadcast","","","ARP","42","","","Who has 192.168.1.101? Tell 192.168.1.37"
"2024-07-02 14:22:06","AzureWaveTec_50:42:9f","Broadcast","","","ARP","42","","","Who has 192.168.1.101? Tell 192.168.1.37"
"2024-07-02 14:22:07","192.168.1.37","255.255.255.255","1046","1046","UDP","67","","","1046  >  1046 Len=25"
"2024-07-02 14:22:07","192.168.1.37","200.25.144.1","60152","53","DNS","68","","","Standard query 0x59fc A sider.ai"
"2024-07-02 14:22:07","192.168.1.37","200.25.144.1","54157","53","DNS","68","","","Standard query 0x60d2 HTTPS sider.ai"
"2024-07-02 14:22:07","192.168.1.37","200.25.144.1","50535","53","DNS","68","","","Standard query 0x60d8 A sider.ai"
"2024-07-02 14:22:07","200.25.144.1","192.168.1.37","53","60152","DNS","116","","","Standard query response 0x59fc A sider.ai A 172.67.29.97 A 104.22.38.144 A 104.22.39.144"
"2024-07-02 14:22:07","200.25.144.1","192.168.1.37","53","54157","DNS","161","","","Standard query response 0x60d2 HTTPS sider.ai HTTPS"
"2024-07-02 14:22:07","200.25.144.1","192.168.1.37","53","50535","DNS","116","","","Standard query response 0x60d8 A sider.ai A 104.22.39.144 A 172.67.29.97 A 104.22.38.144"
"2024-07-02 14:22:07","192.168.1.37","172.67.29.97","63660","443","QUIC","1292","","","Initial, DCID=5f924f6468fc5845, PKN: 1, CRYPTO"
"2024-07-02 14:22:07","192.168.1.37","172.67.29.97","63660","443","QUIC","1292","","","Initial, DCID=5f924f6468fc5845, PKN: 2, CRYPTO, PADDING, PING, PADDING, PING, PING, CRYPTO, PADDING, CRYPTO, PING, PING, PADDING"
