"Timestamp","Source IP Address","Destination IP Address","Source Port","Destination Port","Protocol","Packet Length","Traffic Type","Packet Type","Payload Data","Info"
"2024-07-03 17:49:50","192.168.1.37","255.255.255.255","1046","1046","UDP","67","eth:ethertype:ip:udp:data","67","72635f69616d686572653a363535353a303a303a4544444945","1046  >  1046 Len=25"
"2024-07-03 17:49:50","192.168.1.37","74.125.139.188","50662","5228","TCP","55","eth:ethertype:ip:tcp:data","55","00","50662  >  5228 [ACK] Seq=1 Ack=1 Win=509 Len=1"
"2024-07-03 17:49:50","74.125.139.188","192.168.1.37","5228","50662","TCP","66","eth:ethertype:ip:tcp","66","","5228  >  50662 [ACK] Seq=1 Ack=2 Win=290 Len=0 SLE=1 SRE=2"
"2024-07-03 17:49:51","AzureWaveTec_50:42:9f","Broadcast","","","ARP","42","eth:ethertype:arp","42","","Who has 192.168.1.101? Tell 192.168.1.37"
"2024-07-03 17:49:51","192.168.1.37","255.255.255.255","1046","1046","UDP","67","eth:ethertype:ip:udp:data","67","72635f69616d686572653a363535353a303a303a4544444945","1046  >  1046 Len=25"
"2024-07-03 17:49:52","192.168.1.37","192.168.1.255","53788","1947","UDP","82","eth:ethertype:ip:udp:data","82","3076364b66726a652f76474e443464535934704c424d6d374d4771472f442f66415078375a423441","53788  >  1947 Len=40"
"2024-07-03 17:49:52","192.168.1.37","255.255.255.255","1046","1046","UDP","67","eth:ethertype:ip:udp:data","67","72635f69616d686572653a363535353a303a303a4544444945","1046  >  1046 Len=25"
"2024-07-03 17:49:52","AzureWaveTec_50:42:9f","Broadcast","","","ARP","42","eth:ethertype:arp","42","","Who has 192.168.1.101? Tell 192.168.1.37"
"2024-07-03 17:49:53","AzureWaveTec_50:42:9f","Broadcast","","","ARP","42","eth:ethertype:arp","42","","Who has 192.168.1.101? Tell 192.168.1.37"
"2024-07-03 17:49:53","192.168.1.37","255.255.255.255","1046","1046","UDP","67","eth:ethertype:ip:udp:data","67","72635f69616d686572653a363535353a303a303a4544444945","1046  >  1046 Len=25"
"2024-07-03 17:49:54","AzureWaveTec_50:42:9f","Broadcast","","","ARP","42","eth:ethertype:arp","42","","Who has 192.168.1.101? Tell 192.168.1.37"
"2024-07-03 17:49:54","192.168.1.37","255.255.255.255","1046","1046","UDP","67","eth:ethertype:ip:udp:data","67","72635f69616d686572653a363535353a303a303a4544444945","1046  >  1046 Len=25"
"2024-07-03 17:49:55","192.168.1.37","216.239.36.180","53637","443","UDP","71","eth:ethertype:ip:udp:data","71","45ea842997d55db71246b183ac8ff317b007c2106a77d9eb199a55f534","53637  >  443 Len=29"
"2024-07-03 17:49:55","192.168.1.37","255.255.255.255","1046","1046","UDP","67","eth:ethertype:ip:udp:data","67","72635f69616d686572653a363535353a303a303a4544444945","1046  >  1046 Len=25"
"2024-07-03 17:49:55","192.168.1.37","216.239.36.180","53637","443","UDP","641","eth:ethertype:ip:udp:data","641","4cea842997d55db7126a70731fc5fbee287bbe98b5a024a20b7d8b82282e349839b4611a80a0f9ee6eeedde065b3cf93aa02c40e9dc0401984e05570a187348c5d0282c5046a6a03c3ead8838705b893af6fbf2251664ad041225882ac333a033aa139d394840b4996d6771746b1d887cec966aeb0619676b7c76ffe3d462c28fe97f4b50888c2f5e9a4287f45e40d46e057b21aa52e1c48cc9da2eda8017ec4f33ac7481734229b2642aa9b29b441d641ca6a86350db7e8a92cced40bd53ea006df334b431969196a09e0809987f36c0a68a20a0c94edc104cde02f799c60eb060e8eb0a87aed03d30a024e4e7772084698b6a124ccc79a45ff7d041e844a331d7e3138ac9518ee44ac285e8d172e67cd71eccfe04f0049cc41373c4ceff119c61efd3961c6533c47da22fee16ae1a2c7cee67afa053fb9b94dd448ecef417fc5a87a22e6b3a06b971f5ffec9f732077e54df359e0c66e601ef0f2e7129d0657044e8dc56287a531319c40a1b0e5823f1636f2bba2d848af3acead2ffdd8606b2f25bd4985edf4bfbdf858e4697c30231b0df33f27e2242b329bc54ca864e24a7bdecb6f4d593f2b91024924f6e75e16e3d8c3780266a8380e0e655972aa86bdcd845b293b9625a593f66b53012e84f0af6a1f4366678d4ce4b21cf705844cbfd38b7ea2d26e733c4d211eb449c3e92130ab42ee6bd7515356f9e7ce6b37d376035729ef704666fb3f6cf4a87ce947916cafe6c81f028cd04d8afa1844fa751d79b67c50cbcdabeba9ea43047807a200c5938a98ee30bef0e64088445121bc4aab4ce791fe4edff04409c2b42178d30310dd5252e14d7","53637  >  443 Len=599"
"2024-07-03 17:49:55","AzureWaveTec_50:42:9f","Broadcast","","","ARP","42","eth:ethertype:arp","42","","Who has 192.168.1.101? Tell 192.168.1.37"
"2024-07-03 17:49:55","192.168.1.37","216.239.36.180","53637","443","UDP","641","eth:ethertype:ip:udp:data","641","56ea842997d55db712bf13eb7016e03d63dd6706f7c09f6beb1f49ed086804224db97fed3b6bccd670569443a8540c0730673d38cfefb96666c1e5698fd439012f53f2d14ad3b285fa4d0b7040e92afe28b104c87ce5c0247a66f4899b2aefbfc1c6be37ed91661afc19153b73347ca8e7654b0e0a8a180b88b1a13fa6a02c410dbee71b9652bb4e7b36d4c4fa1a99252bb180ed554dc2c416fc234e751f43c0600c022eef5a2d848cf19303c218c8cbef12b44346573a2bb99230fdd969fd32f06ab3c3033481ea2ec9b82b8b2015fd77cac2947053be9e49973cab6d85fa1b2e9572744b90b5f27bff5101f4da0c0745b9350026e80010ac0b0f0ac47500d22854cfe5670b260f7aed4bcdbacd9a0d1ff571ba695544b804af10bbcbd484a685e44b1c66a0932b08763dc6aef545aa3544d912897668d2b8d8f19b23888d749ff88ac79088ce6226d5001e5e4543ed87f44a06753988e61c99e607d5752348e879789663d0e33613284bb037a11f086ad6a9f6729dbc4ed7d967440d7d2b44efeffb2f078b911777a786ab1bcd7302ea6403ae776404c5bb67b0d68c41b963ddba91c0aade8f2025f2c59e2f303d397b1261d1afb20ddf0fc6a29530f46ab688e924aeb228e012a02fda4d442ceb102ecf8fe4f4adcaa190542c8295929daaf5b7551face25cef33a261eb057ef9605370d0595ca01c3520b485f91d86e305d38ff113258f0e6e56e3e14d0324d647e947f1acf13d8dcc251be6fabec0b17bd0b8ec87b1ac60e2a0dda43dd621de91acbf9736d358934c3fad46d5304d8ad0a7d9fe32fde8be45364a5a8571a4aae237d1f49e4c8406","53637  >  443 Len=599"
"2024-07-03 17:49:55","192.168.1.37","216.239.36.180","53637","443","UDP","641","eth:ethertype:ip:udp:data","641","5aea842997d55db712fef204b3a037b9681481f3080b8e3a190899966c40595363f719fe17825835b4110375d635cc1fca6df965a9a21a3bc3a584a259bd7c47bcc0bcdea1fb4733cfc02c45f1adea9c07188d01b9e8fa224b4c0ae64c97da339d3c826d63c35aafccca22829ed13680992ae8f9d084eff70e9bed7cebde13cf980062c176f3aee63a69d8cd11155ce9e3f8eccc981f8959651b58be5434a02e5f17a2619eb9f88ff1eb623a35aae09439489e390b37a85ece6a05ab9779c51880c9e5271992ea4c61c098cb45abf0f59ace8fc1140c3560fb5aa693d6c8d021a6f24ea2ae33b3c9669a92f92c13650359d97476115492236d45ad7aafc8c779c49926ad6201ce2a47b7b7f46949f4994fb842751b1f6d4ba9a0a9c4afb1f431828cb40aedf717414e9ffe3202f3ec938211c6789207961ff8da05541f3791a427a65e0ba416496a97aa50a34f6cad7d86f1254af3ec4e3d5d58d5adbdd1217c9fef347bed0e1dc43d87f736dfa77f6bed765749e1fcaaa5f0464ab67a5e688bc27a910c45437d77612f6339a71e7aff358a16aeba750a3b280486532a617207df312a5c76f2d94346f8dc1aad735eda84d49817e67b61452a3bf765c23c7a48b764c035fe95882d6062125b7e617ab590b7f2df253afbde2171138edaab6a35cfd873fc7be46b28ba52a76000be692c8f28c10fba6523e6c9695562dd55246a5e0f8ff61e7ffa3b7777c961e37db322521eccdfbeafb9bdff676dae6c05dd17d43fc81eafa66cb7c99199ef4be9bcd0d64a94525b96c08ac55e7d9edbd2b351a26552a1c6de49e711eab4ba0c5c119dba0b62915a789b","53637  >  443 Len=599"
