"Timestap","Source IP Address","Destination IP Address","Source Port","Destination Port","Protocol","Packet Length","Hypertext Transfer Protocol","Host Name","Info"
"2024-06-24 16:30:05","Routerboardc_5e:b9:50","Broadcast","","","ARP","42","","","Who has 192.168.1.250? Tell 192.168.1.1"
"2024-06-24 16:30:05","192.168.1.43","239.255.255.250","56733","1900","SSDP","217","","","M-SEARCH * HTTP/1.1 "
"2024-06-24 16:30:06","142.250.218.138","192.168.1.41","443","53035","UDP","120","","","443  >  53035 Len=78"
"2024-06-24 16:30:06","142.250.218.138","192.168.1.41","443","53035","UDP","64","","","443  >  53035 Len=22"
"2024-06-24 16:30:06","192.168.1.41","142.250.218.138","53035","443","UDP","74","","","53035  >  443 Len=32"
"2024-06-24 16:30:06","192.168.1.41","8.8.8.8","63459","443","UDP","252","","","63459  >  443 Len=210"
"2024-06-24 16:30:06","192.168.1.41","8.8.8.8","63459","443","UDP","252","","","63459  >  443 Len=210"
"2024-06-24 16:30:06","Routerboardc_5e:b9:50","Broadcast","","","ARP","42","","","Who has 192.168.1.44? Tell 192.168.1.1"
"2024-06-24 16:30:06","192.168.1.43","239.255.255.250","1900","1900","SSDP","537","","","NOTIFY * HTTP/1.1 "
"2024-06-24 16:30:06","fe80::103c:1ae1:8556:446f","ff02::c","1900","1900","SSDP","566","","","NOTIFY * HTTP/1.1 "
"2024-06-24 16:30:06","8.8.8.8","192.168.1.41","443","63459","UDP","70","","","443  >  63459 Len=28"
"2024-06-24 16:30:06","8.8.8.8","192.168.1.41","443","63459","UDP","620","","","443  >  63459 Len=578"
"2024-06-24 16:30:06","192.168.1.41","8.8.8.8","63459","443","UDP","77","","","63459  >  443 Len=35"
"2024-06-24 16:30:06","8.8.8.8","192.168.1.41","443","63459","UDP","64","","","443  >  63459 Len=22"
"2024-06-24 16:30:06","192.168.1.41","8.8.8.8","63459","443","UDP","78","","","63459  >  443 Len=36"
"2024-06-24 16:30:06","192.168.1.41","8.8.8.8","63459","443","UDP","77","","","63459  >  443 Len=35"
"2024-06-24 16:30:06","192.168.1.41","142.250.218.138","58040","443","QUIC","1292","","","Initial, DCID=530593640ca14906, PKN: 1, CRYPTO, PADDING, PING, PING, CRYPTO, CRYPTO, CRYPTO, CRYPTO, PADDING, PING, PADDING, CRYPTO"
"2024-06-24 16:30:06","192.168.1.41","142.250.218.138","58040","443","QUIC","121","","","0-RTT, DCID=530593640ca14906"
"2024-06-24 16:30:06","192.168.1.41","142.250.218.138","58040","443","QUIC","568","","","0-RTT, DCID=530593640ca14906"
"2024-06-24 16:30:06","8.8.8.8","192.168.1.41","443","63459","UDP","65","","","443  >  63459 Len=23"
