"No.","Time","Source","Src port","Destination","Dst port","Protocol","Length","Host Name","Info"
"1","0.000000","Routerboardc_5e:b9:50","","Broadcast","","ARP","42","","Who has 192.168.1.250? Tell 192.168.1.1"
"2","0.508402","192.168.1.43","56733","239.255.255.250","1900","SSDP","217","","M-SEARCH * HTTP/1.1 "
"3","0.694144","142.250.218.138","443","192.168.1.41","53035","UDP","120","","443  >  53035 Len=78"
"4","0.694144","142.250.218.138","443","192.168.1.41","53035","UDP","64","","443  >  53035 Len=22"
"5","0.694790","192.168.1.41","53035","142.250.218.138","443","UDP","74","","53035  >  443 Len=32"
"6","0.699575","192.168.1.41","63459","8.8.8.8","443","UDP","252","","63459  >  443 Len=210"
"7","0.699819","192.168.1.41","63459","8.8.8.8","443","UDP","252","","63459  >  443 Len=210"
"8","0.712366","Routerboardc_5e:b9:50","","Broadcast","","ARP","42","","Who has 192.168.1.44? Tell 192.168.1.1"
"9","0.717195","192.168.1.43","1900","239.255.255.250","1900","SSDP","537","","NOTIFY * HTTP/1.1 "
"10","0.725975","fe80::103c:1ae1:8556:446f","1900","ff02::c","1900","SSDP","566","","NOTIFY * HTTP/1.1 "
"11","0.726784","8.8.8.8","443","192.168.1.41","63459","UDP","70","","443  >  63459 Len=28"
"12","0.726784","8.8.8.8","443","192.168.1.41","63459","UDP","620","","443  >  63459 Len=578"
"13","0.727363","192.168.1.41","63459","8.8.8.8","443","UDP","77","","63459  >  443 Len=35"
"14","0.727878","8.8.8.8","443","192.168.1.41","63459","UDP","64","","443  >  63459 Len=22"
"15","0.737060","192.168.1.41","63459","8.8.8.8","443","UDP","78","","63459  >  443 Len=36"
"16","0.737299","192.168.1.41","63459","8.8.8.8","443","UDP","77","","63459  >  443 Len=35"
"17","0.738314","192.168.1.41","58040","142.250.218.138","443","QUIC","1292","","Initial, DCID=530593640ca14906, PKN: 1, CRYPTO, PADDING, PING, PING, CRYPTO, CRYPTO, CRYPTO, CRYPTO, PADDING, PING, PADDING, CRYPTO"
